simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.2665561	1.2796415	1.5636349	4428.4302	2.2806086	2.2393065	0.032734663	-0.030893295
1	1.6661491	-0.91702632	2.6390425	778.00905	1.716757	1.5191474	0.020037754	-0.033414903
2	1.6527006	-0.55067389	2.0945929	560.6753	1.5218084	1.4749662	0.032291868	-0.0080796216
3	0.74913455	1.0984733	0.96050149	766.65233	1.4727928	1.4336947	0.00086205569	0.035420844
4	3.6229343	0.58563957	2.6432339	222.77609	1.3806553	1.3724017	-0.028988861	-0.02124914
5	3.3238176	0.39041463	0.35682708	642.04539	1.5991799	1.5340403	-0.025502663	-0.0029080881
6	0.51457126	-1.0153521	2.9566765	518.3751	1.4557692	1.4497915	0.030934887	-0.019847606
7	5.9830292	0.95627987	0.48259436	466.70419	1.5169503	1.4371431	0.024015917	-0.042971096
8	4.4502202	-0.50073823	1.6443882	247.41323	1.418648	1.3310623	0.0030303234	-0.030393726
9	2.7040567	-0.39850663	1.079266	164.77908	1.4029902	1.3882726	0.045078045	0.049745286
10	0.066162298	-1.2565751	0.50810262	502.07503	1.4737083	1.4733095	-0.020615914	0.017494129
11	5.6455111	0.12532835	2.4330611	2295.1946	1.8749003	1.7749544	-0.027863176	0.025952293
12	5.7481202	0.93109226	2.6059886	983.26796	1.5968607	1.5376652	0.026821434	-0.047465483
13	5.4703317	0.13633982	2.1433292	244.21782	1.4471404	1.3743613	0.045275933	0.033536287
14	0.37307845	-0.43503502	2.8834601	139.13848	1.3354926	1.2320159	-0.021774109	0.0060712263
15	5.0874881	1.0580646	0.032352303	171.69853	1.4872347	1.3253399	0.035233024	0.048148259
16	0.6882847	-1.2607025	2.215733	421.00246	1.5667398	1.4299759	-0.02475371	-0.045023955
17	2.0425071	1.4369196	2.6032899	50.184028	1.4752488	1.3654209	-0.028331115	0.047639608
18	1.2936349	0.20900274	0.85637728	273.34205	1.3810415	1.3416105	-0.016429298	-0.037343325
19	0.65005231	-0.50868992	0.72564183	181.89234	1.4966488	1.3682041	0.029754076	-0.021699081
20	5.0327038	-1.0644253	2.4968333	702.33941	1.6443045	1.5169054	0.045168536	-0.0008372969
21	2.8979198	-0.817129	0.50603784	378.9754	1.4350973	1.3439524	-0.025347845	-0.033204704
22	6.2359393	0.61046712	0.58003979	304.28057	1.517626	1.3602205	-0.043581391	-0.031584146
23	5.953362	1.0564065	2.6786883	176.34472	1.4716549	1.2673853	0.040661065	0.0064217895
24	0.64970793	-1.2490297	0.55016537	368.06648	1.4185838	1.165958	-0.034458359	0.013230055
25	5.2993174	-0.18851265	0.57044295	631.38496	1.6419545	1.3249753	-0.02311292	-0.0091656153
26	1.760018	0.42264284	2.0859287	345.40481	1.4857719	1.3120832	0.0022361063	-0.018516788
